mask_threshold,use_objectness_filter,objectness_threshold,weight_by_objectness,cases,positive_cases,kept_prompts,dice,precision,recall,lesion_recall,hit_lesions,total_gt_lesions,pred_components_per_case,fp_components_per_case,component_precision,selection_score
0.6,True,0.2,False,289,85,318,0.43215617390755573,0.3098476198807565,0.7139982344068233,0.8160919540229885,71.0,87.0,1.4429065743944636,1.193771626297578,0.17266187050359713,0.8286292673960712
0.55,True,0.2,False,289,85,318,0.43046904878269904,0.3074024298222506,0.7178596005866774,0.8160919540229885,71.0,87.0,1.4567474048442905,1.207612456747405,0.171021377672209,0.8271002196788709
0.5,True,0.2,False,289,85,318,0.42866509242557377,0.3049162219607601,0.7214707252139217,0.8160919540229885,71.0,87.0,1.4775086505190311,1.221453287197232,0.17330210772833723,0.8255419641536035
0.45,True,0.2,False,289,85,318,0.42682866961217475,0.3024007373506966,0.7252417263886668,0.8160919540229885,71.0,87.0,1.491349480968858,1.2352941176470589,0.1716937354988399,0.8239755920142674
0.4,True,0.2,False,289,85,318,0.4248672967013824,0.2997966070685833,0.7289918741006944,0.8160919540229885,71.0,87.0,1.491349480968858,1.2387543252595157,0.16937354988399073,0.8232084321775729
0.35,True,0.2,False,289,85,318,0.42278697022289463,0.29710070386314474,0.7327872043152766,0.8160919540229885,71.0,87.0,1.508650519031142,1.2525951557093427,0.16972477064220184,0.8215810841219647
0.6,True,0.1,False,289,85,531,0.3771537854300096,0.2556196713208946,0.7190030654590195,0.8735632183908046,76.0,87.0,2.4705882352941178,2.2006920415224913,0.1092436974789916,0.7917963014265078
0.55,True,0.1,False,289,85,531,0.37502693161668127,0.2531826298217192,0.722944369912624,0.8735632183908046,76.0,87.0,2.4878892733564015,2.217993079584775,0.10848400556328233,0.789880504928193
0.5,True,0.1,False,289,85,531,0.3728986772512723,0.25079919151207636,0.7266736641619341,0.8735632183908046,76.0,87.0,2.508650519031142,2.2318339100346023,0.1103448275862069,0.7882411749008544
0.45,True,0.1,False,289,85,531,0.3707422040355581,0.2484004925561157,0.7305524082273862,0.8735632183908046,76.0,87.0,2.508650519031142,2.2318339100346023,0.1103448275862069,0.7877020565969259
0.4,True,0.1,False,289,85,531,0.36845152054624936,0.24591062492726637,0.7344276767157186,0.8735632183908046,76.0,87.0,2.519031141868512,2.245674740484429,0.10851648351648352,0.7860221192886127
0.6,False,none,False,289,85,577,0.3678170105976567,0.2470240083208489,0.7197885458880448,0.8850574712643678,77.0,87.0,2.667820069204152,2.394463667820069,0.10246433203631647,0.7854546304881764
0.55,False,none,False,289,85,577,0.3656563492662746,0.2446232643375702,0.7237472282272471,0.8850574712643678,77.0,87.0,2.688581314878893,2.41522491349481,0.10167310167310167,0.7832535655013517
0.35,True,0.1,False,289,85,531,0.36599966059616196,0.24330317006380442,0.7383411765523665,0.8735632183908046,76.0,87.0,2.5536332179930796,2.2768166089965396,0.10840108401084012,0.782917804820122
0.5,False,none,False,289,85,577,0.36348559679357606,0.2422676355319538,0.7274765224765573,0.8850574712643678,77.0,87.0,2.7197231833910034,2.4394463667820068,0.10305343511450382,0.7807731611202013
0.45,False,none,False,289,85,577,0.36129336875947,0.2399027296575359,0.7313622176962484,0.8850574712643678,77.0,87.0,2.7231833910034604,2.442906574394464,0.10292249047013977,0.7799482875026782
0.4,False,none,False,289,85,577,0.3589839315380686,0.23746267651482836,0.7352444373388201,0.8850574712643678,77.0,87.0,2.7301038062283736,2.453287197231834,0.10139416983523447,0.7785404783703384
0.35,False,none,False,289,85,577,0.35647592141113327,0.23487451337695683,0.7391614127525876,0.8850574712643678,77.0,87.0,2.7681660899653977,2.4878892733564015,0.10125,0.775145309748639
0.6,True,0.3,False,289,85,239,0.4569706239596923,0.3377904289386437,0.7060982476140163,0.7586206896551724,66.0,87.0,1.0449826989619377,0.8131487889273357,0.22185430463576158,0.7250528218412533
0.55,True,0.3,False,289,85,239,0.45552364968468945,0.3353655833290915,0.7098588220574026,0.7586206896551724,66.0,87.0,1.0588235294117647,0.8269896193771626,0.21895424836601307,0.7235838118365164
0.5,True,0.3,False,289,85,239,0.4539279676337546,0.33285820615978867,0.7134178130278532,0.7586206896551724,66.0,87.0,1.0726643598615917,0.8339100346020761,0.22258064516129034,0.7226312581057897
0.45,True,0.3,False,289,85,239,0.4522943954477055,0.33030573221897974,0.7171540584314026,0.7586206896551724,66.0,87.0,1.0830449826989619,0.8442906574394463,0.22044728434504793,0.7213924152322877
0.4,True,0.3,False,289,85,239,0.45052399266225635,0.32765242173343634,0.7208451213323972,0.7586206896551724,66.0,87.0,1.0830449826989619,0.8477508650519031,0.21725239616613418,0.7206729979269288
0.35,True,0.3,False,289,85,239,0.4486305128663139,0.32490757538918086,0.7245257575020332,0.7586206896551724,66.0,87.0,1.0968858131487889,0.8581314878892734,0.21766561514195584,0.7193691781509537
0.6,True,0.4,False,289,85,206,0.4682909625821061,0.3514571492254541,0.7014826811992131,0.7126436781609196,62.0,87.0,0.8961937716262975,0.6782006920415224,0.24324324324324326,0.6007477197649633
0.55,True,0.4,False,289,85,206,0.46697106875973793,0.3490514429627183,0.7052119754485232,0.7126436781609196,62.0,87.0,0.903114186851211,0.6851211072664359,0.2413793103448276,0.5998641130913782
0.5,True,0.4,False,289,85,206,0.4654470918401702,0.3465067079024954,0.7087188327621802,0.7126436781609196,62.0,87.0,0.9100346020761245,0.6851211072664359,0.24714828897338403,0.5994831188614863
0.45,True,0.4,False,289,85,206,0.46390089011503827,0.3439286960723778,0.7124098956631749,0.7126436781609196,62.0,87.0,0.9204152249134948,0.6955017301038062,0.24436090225563908,0.5982661186032137
0.4,True,0.4,False,289,85,206,0.46222637030788316,0.3412575366063738,0.7160523004844954,0.7126436781609196,62.0,87.0,0.916955017301038,0.6955017301038062,0.24150943396226415,0.5978474886514249
